identifier	decision	object_id	object_label	grounding_status	curator	date	notes	review_depth	category	relation
habitatmech:BACDIVE.009b89b30a	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0180300130	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0bfb662164	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0d6b871731	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0e92e77cd4	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0f078d72a7	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.0f1e92a02c	CONFIRM_UNGROUNDED	ENVO:01000951	natural environment		claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Environmental' is the counterpart of BacDive's Host and Engineered bins, so ENVO:01000951 'natural environment' looks like the answer and is not. Its definition requires 'minimal to no anthropisation', and this bin holds BacDive's Paddy-Ricefield, Grove-Orchard and Herbaceous-plants-Grass,Crops, which are farmed. The term is narrower than the concept, so it is neither an identity nor a parent; kept as an xref (#99) to record the near-miss so the next curator does not re-derive it. Still a term request.	ITEM		xref
habitatmech:BACDIVE.135c519007	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.13ab77c66c	GROUND_AS_PARENT	ENVO:03600004	drinking water treatment plant	BROAD	claude-opus-5	2026-08-13	A generic water treatment plant may treat wastewater; the drinking-water term is narrower than this source.	ITEM		
habitatmech:BACDIVE.1599585546	NOT_APPLICABLE				claude-opus-5	2026-08-12	'Climate' names an attribute or an event rather than a place, even though ENVO:01001082 shares its label. Not a habitat.	ITEM		
habitatmech:BACDIVE.16280b13f2	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.1b4071cb1d	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.1cc8e3791c	NOT_APPLICABLE				claude-opus-5	2026-08-12	"BacDive's residual ""Other"" bin. Carries no habitat meaning at all; it is the absence of a classification, not a coarse one."	ITEM		
habitatmech:BACDIVE.1dbb2b0c6f	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
